1	AN	16	1971	-1
2	AQ	4	1971	1992
3	AS	15	1971	-1
4	AT	23	1916	-1
5	AV	14	1971	-1
6	AW	9	1974	2009
7	Albania	25	1940	1984
8	Algeria	22	1916	1980
9	Arg	29	1930	2009
10	Armenia	2	2011	2011
11	Aus	7	1917	1944
12	Austria	9	1920	1980
13	Azer	2	1997	2015
14	Barb	11	1942	1980
15	Belgium	34	1918	1946
16	Belize	11	1918	1983
17	Bermuda	16	1917	1956
18	Brazil	57	1931	2019
19	Bulg	5	1979	1982
20	C-Eur	17	1916	-1
21	CA	5	1948	1966
22	CO	2	1992	1993
23	CR	5	1979	1992
24	Canada	10	1918	-1
25	Chatham	9	1974	-1
26	Chicago	6	1920	1966
27	Chile	36	1927	-1
28	Cook	3	1978	1991
29	Cuba	39	1928	-1
30	Cyprus	9	1975	1998
31	Czech	6	1945	1949
32	DR	6	1966	1974
33	Denver	5	1920	1966
34	Detroit	2	1948	1948
35	Dhaka	2	2009	2009
36	E-Eur	6	1977	-1
37	E-EurAsia	3	1979	-1
38	EU	6	1977	-1
39	EUAsia	3	1979	-1
40	Ecuador	2	1992	1993
41	Edm	13	1918	2006
42	Egypt	34	1940	-1
43	EgyptAsia	6	1957	1967
44	Eire	7	1971	-1
45	Falk	12	1937	2010
46	Fiji	12	1998	2021
47	Finland	4	1942	1982
48	France	42	1916	1976
49	GB-Eire	65	1916	1995
50	Germany	8	1946	1949
51	Greece	19	1932	1980
52	Guam	14	1959	1977
53	Guat	8	1973	2006
54	HK	14	1946	1979
55	Haiti	11	1983	-1
56	Halifax	41	1916	1973
57	Holiday	2	1992	1994
58	Hond	4	1987	2006
59	Hungary	19	1918	1983
60	Indianapolis	3	1941	1954
61	Iran	40	1910	2022
62	Iraq	8	1982	2007
63	Italy	41	1916	1979
64	Japan	4	1948	1951
65	Jordan	32	1973	2022
66	Kyrgyz	4	1992	2005
67	LH	14	1981	-1
68	Latvia	2	1989	1996
69	Lebanon	24	1920	-1
70	Libya	17	1951	2013
71	Louisville	9	1921	1961
72	Macau	27	1942	1979
73	Malta	7	1973	1980
74	Marengo	4	1951	1960
75	Mauritius	4	1982	2009
76	Menominee	4	1946	1966
77	Mexico	16	1931	2022
78	Moldova	2	1997	-1
79	Moncton	13	1933	2006
80	Mongol	9	1983	2016
81	Morocco	183	1939	2087
82	NBorneo	2	1935	1941
83	NC	4	1977	1997
84	NT_YK	10	1918	2006
85	NYC	5	1920	1966
86	NZ	16	1927	-1
87	Namibia	3	1994	2017
88	Nic	6	1979	2006
89	PRC	3	1986	1991
90	Pakistan	5	2002	2009
91	Palestine	110	1999	2086
92	Para	22	1975	2024
93	Perry	4	1955	1963
94	Peru	10	1938	1994
95	Phil	10	1936	1990
96	Pike	4	1955	1964
97	Poland	20	1918	1964
98	Port	45	1916	1986
99	Pulaski	4	1946	1960
100	ROK	14	1948	1988
101	Regina	17	1918	1959
102	Romania	9	1932	1993
103	Russia	16	1917	2010
104	RussiaAsia	5	1981	2010
105	SA	2	1942	1944
106	Salv	2	1987	1988
107	SanLuis	2	2007	2009
108	Shang	14	1919	1949
109	SovietZone	3	1945	1945
110	Spain	30	1918	1978
111	SpainAfrica	9	1967	1978
112	StJohns	19	1917	2011
113	Starke	5	1947	1961
114	Sudan	4	1970	1985
115	Swift	5	1957	1961
116	Swiss	2	1941	1942
117	Syria	41	1920	2022
118	Taiwan	15	1946	1979
119	Thule	6	1991	-1
120	Tonga	6	1999	2017
121	Toronto	18	1919	1973
122	Troll	2	2004	-1
123	Tunisia	25	1939	2008
124	Turkey	45	1916	2006
125	US	13	1918	-1
126	Uruguay	48	1923	2015
127	Vanc	9	1918	2006
128	Vanuatu	6	1973	1993
129	Vincennes	9	1946	1963
130	W-Eur	6	1977	-1
131	WS	5	2010	2021
132	Winn	24	1916	2005
133	Yukon	2	1965	1965
134	Zion	85	1940	-1
