Field	Name	STD Offset	Rules	Format	Until	Comment	
Zone	Africa/Algiers	0:12:12	-	LMT	1891 Mar 16		
Zone	Africa/Algiers	0:09:21	-	PMT	1911 Mar 11 	 Paris Mean Time	
Zone	Africa/Algiers	0:00	Algeria	WE%sT	1940 Feb 25  2:00		
Zone	Africa/Algiers	1:00	Algeria	CE%sT	1946 Oct  7		
Zone	Africa/Algiers	0:00	-	WET	1956 Jan 29		
Zone	Africa/Algiers	1:00	-	CET	1963 Apr 14		
Zone	Africa/Algiers	0:00	Algeria	WE%sT	1977 Oct 21		
Zone	Africa/Algiers	1:00	Algeria	CE%sT	1979 Oct 26		
Zone	Africa/Algiers	0:00	Algeria	WE%sT	1981 May		
Zone	Africa/Algiers	1:00	-	CET			
Zone	Atlantic/Cape_Verde	-1:34:04	-	LMT	1912 Jan 01  2:00u 	 Praia	
Zone	Atlantic/Cape_Verde	-2:00	-	%z	1942 Sep		
Zone	Atlantic/Cape_Verde	-2:00	1:00	%z	1945 Oct 15		
Zone	Atlantic/Cape_Verde	-2:00	-	%z	1975 Nov 25  2:00		
Zone	Atlantic/Cape_Verde	-1:00	-	%z			
Zone	Africa/Ndjamena	1:00:12	-	LMT	1912 Jan  1 	 N'Djamena	
Zone	Africa/Ndjamena	1:00	-	WAT	1979 Oct 14		
Zone	Africa/Ndjamena	1:00	1:00	WAST	1980 Mar  8		
Zone	Africa/Ndjamena	1:00	-	WAT			
Zone	Africa/Abidjan	-0:16:08	-	LMT	1912 Jan  1		
Zone	Africa/Abidjan	0:00	-	GMT			
Zone	Africa/Cairo	2:05:09	-	LMT	1900 Oct		
Zone	Africa/Cairo	2:00	Egypt	EE%sT			
Zone	Africa/Bissau	-1:02:20	-	LMT	1912 Jan  1  1:00u		
Zone	Africa/Bissau	-1:00	-	%z	1975		
Zone	Africa/Bissau	0:00	-	GMT			
Zone	Africa/Nairobi	2:27:16	-	LMT	1908 May		
Zone	Africa/Nairobi	2:30	-	%z	1928 Jun 30 24:00		
Zone	Africa/Nairobi	3:00	-	EAT	1930 Jan  4 24:00		
Zone	Africa/Nairobi	2:30	-	%z	1936 Dec 31 24:00		
Zone	Africa/Nairobi	2:45	-	%z	1942 Jul 31 24:00		
Zone	Africa/Nairobi	3:00	-	EAT			
Zone	Africa/Monrovia	-0:43:08	-	LMT	1882		
Zone	Africa/Monrovia	-0:43:08	-	MMT	1919 Mar 	 Monrovia Mean Time	
Zone	Africa/Monrovia	-0:44:30	-	MMT	1972 Jan 7 	 approximately MMT	
Zone	Africa/Monrovia	0:00	-	GMT			
